QC,company_name,domain,Confidence Level,Vmware Detection,Firmo Status,keyword,company_url,AWS - Previous Detected Date,AWS - Last Detected Link,AWS - Last Detected Date,Remark,
Krishna,AT&S India,www.ats.net,HIGH,VMware,Working,AWS,https://ats.net/en/new-life-at-the-edge-of-the-cloud/,,,,,https://ats.net/en/new-life-at-the-edge-of-the-cloud/
Krishna,Atlas Copco Australia,http://www.atlascopco.com/,HIGH,VMware,Working,AWS,https://www.atlascopco.com/en-us/vacuum-solutions/products/liquid-ring-vacuum-pumps-range/liquid-ring-vacuum-pumps/aws-liquid-ring-vacuum-pumps,,,,,https://www.atlascopco.com/en-us/vacuum-solutions/products/liquid-ring-vacuum-pumps-range/liquid-ring-vacuum-pumps/aws-liquid-ring-vacuum-pumps
Krishna,Atos (Australia) Pty Ltd,http://www.atos.net/,HIGH,VMware,,AWS cloud,https://atos.net/en/events/aws-reivent-2024,,,,,https://atos.net/en/events/aws-reivent-2024
Krishna,Aurecon Australia,http://www.aurecongroup.com/,HIGH,VMware,Working,AWS,https://www.aurecongroup.com/podcast/episodes/34,,,,,https://www.aurecongroup.com/podcast/episodes/34
Krishna,Ausco Modular,http://www.ausco.com.au/,,VMware,Working,AWS,https://ausco.com.au/blog/eastern-creek-sydneys-latest-industrial-growth-centre,,,,,https://ausco.com.au/blog/eastern-creek-sydneys-latest-industrial-growth-centre
Krishna,AUSTRALIAN STOCK EXCHANGE LIMITED,http://www.asx.com.au/,HIGH,VMware,Invalid Country,AWS,https://www.asx.com.au/asxpdf/20080918/pdf/31ccqr4jq5wbfh.pdf,,,,Australia,https://www.asx.com.au/asxpdf/20080918/pdf/31ccqr4jq5wbfh.pdf
Krishna,AUSTRALIAN STOCK EXCHANGE LIMITED,http://www.asx.com.au/,HIGH,VMware,,EC2,https://www.asx.com.au/asxpdf/20230320/pdf/45mvb621j62nxl.pdf,,,,,https://www.asx.com.au/asxpdf/20230320/pdf/45mvb621j62nxl.pdf
Krishna,Autoliv Korea,http://www.autoliv.com/,HIGH,VMware,,VPC,https://www.autoliv.com/sites/autoliv/files/pr/alv_annual_report_2000_eng.pdf,,,,,https://www.autoliv.com/sites/autoliv/files/pr/alv_annual_report_2000_eng.pdf
Krishna,Avanade,http://www.avanade.com/,LOW,VMware,Working,AWS,https://www.avanade.com/en/insights/articles/ai-assisted-development-strategies,,,,,https://www.avanade.com/en/insights/articles/ai-assisted-development-strategies
Krishna,AVL INDIA PVT.LTD,www.avl.com,HIGH,VMware,Working,AWS,https://www.avl.com/en/webinars/optimize-your-avl-simulation-portfolio-rescales-cloud-hpc-platform,,,,,https://www.avl.com/en/webinars/optimize-your-avl-simulation-portfolio-rescales-cloud-hpc-platform
