company_name,domain,keyword,company_url
Bluescope Singapore,https://www.bluescope.com/our-company/where-we-are/locations,Glue,https://www.bluescope.com/content/dam/bluescope/corporate/bluescope-com/sustainability/documents/2022_BlueScope_Report_Sustainability_Report.pdf
British American Tobacco Indonesia,https://bat.com/id,AWS,https://www.bat.com/sustainability-and-esg/nature
bytebridge,http://www.bytebt.com/,AWS,https://www.bytebt.com/the-realities-of-ai-what-it-is-and-isnt-in-cybersecurity/
Capcom Korea,https://www.capcom-games.com/en-asia/,AWS,https://www.capcom-games.com/cgc/2025/ja-jp/network/
Capcom Korea,https://www.capcom-games.com/en-asia/,S3,https://capsuletech.com/clinical-insights-manager
CBN Media,http://www.cbn.com/,Shield,https://courses.cbn.com/pages/cbn-third-party-processor-information
Coates Signoco Pty Ltd,http://www.coatesgroup.com/,AWS,https://coatesgroup.com/insights/thought-leadership/interview-coates-x-aws
Coursemonster Pty Ltd,http://www.coursemonster.com/,AWS Lambda,https://www.coursemonster.com/training-courses/building-streaming-data-analytics-solutions-on-aws-GK7400
cubesys,http://www.cubesys.com.au/,EC2,https://www.cubesys.com.au/blog/aws-you-can-now-set-data-owner-on-your-s3-bucket
Curtin University Malaysia,http://www.curtin.edu.my/,AWS,https://engsci.curtin.edu.my/departments/electrical-and-computer-engineering/staff/tuong-thuy-vu/
DASSAULT SYSTEMES K. K.,https://www.3ds.com/about/company/office-locations/japan,IAM,https://www.3ds.com/support/cloud/frequently-asked-questions
DB Schenker Australia,http://www.dbschenker.com/,AWS,https://www.dbschenker.com/tscnanjing-en/news/tsc-news/-success-story-how-to-run-devops-tips-from-tsc-nanjing-webclaims-669266
Defender Nusa Semesta,http://www.defenxor.com/,S3,https://www.defenxor.com/en/blog/cara-identifikasi-misconfiguration-aws-s3-bucket-lakukan-segera-untuk-mengamankan-aset-anda-2/
EL Com,http://www.elcom.com.au/,Glue,https://www.elcom.com.au/resources/guides/intranet-best-practices
Elite Academy,https://www.eliteacademy.id/,AWS cloud,https://www.eliteacademy.id/aws-cloud-practitioner
Fastlane Asia,http://www.fastlane.asia/,AWS cloud,https://www.fastlane.asia/certifications/amazon-web-services
Frequentis Australasia,http://www.frequentis.com/,EC2,https://www.frequentis.com/sites/default/files/support/2021-12/D3.1%20Report%20on%20State-of-the-Art%20of%20Relevant%20Concepts.pdf
Galexia,http://www.galexia.com/,Shield,https://www.galexia.com/public/about/news/print-index.html
GNA University,http://www.gnauniversity.edu.in/,AWS cloud,https://www.gnauniversity.edu.in/b-tech-in-computer-science-and-engineering-with-cloud-computing
Innovins Technologies Private Limited,http://www.innovins.com,AWS Lambda,https://www.innovins.com/
Korea Ratings,https://www.korearatings.com/eng/index.do,AWS,http://www.korearatings.com/component/webzine/670/a4.pdf
"Maybank Indonesia Finance, PT ( MIF Online )",https://www.maybank.co.id,Shield,https://www.maybank.co.id/-/media/Downloaded-Content/Laporan-Tahunan/Annual-Report-Maybank-Indonesia-2024.pdf
Metrohm Singapore Pte Ltd,http://www.metrohm.com/,AWS,https://www.metrohm.com/de_de/legal/datenschutzerklaerung.html
Minfy - SI,http://www.minfytech.com,AWS,https://www.minfytech.com/blogs/top-3-cloud-computing-trends-for-aws-customers-in-2025
Minfy - SI,http://www.minfytech.com,EC2,https://www.minfytech.com/blogs/top-3-cloud-computing-trends-for-aws-customers-in-2025
Minfy - SI,http://www.minfytech.com,S3,https://www.minfytech.com/blogs/top-3-cloud-computing-trends-for-aws-customers-in-2025
Nfolks Software Technologies Pvt. Ltd,http://www.nfolks.com,AWS,https://nfolks.com/bi-bigdata/
NIIT LTD,http://www.niit.com,AWS cloud,https://www.niit.com/india/wp-content/uploads/2025/01/Cloud-Computing.pdf
Offsec,http://www.offsec.com/,IAM,https://www.offsec.com/learning/paths/offensive-cloud-foundations/
PT Bank Maybank Indonesia Tbk,https://www.maybank.co.id/,Shield,https://www.maybank.co.id/-/media/Downloaded-Content/Laporan-Tahunan/Annual-Report-Maybank-Indonesia-2024.pdf
TalentPro India HR Pvt Ltd,http://www.talentproindia.com/,EBS,https://www.talentproindia.com/services/it-recruitment/
Tridiagonal Solutions,https://tridiagonal.com/,AWS,https://tridiagonal.com/events/webinar/pharma-manufacturing-with-aws-iot
