company_name,domain,keyword,company_url
Aurum Proptech,www.aurumproptech.in,AWS,https://www.aurumproptech.in/pulse/faqs/what-are-the-future-projections-for-indias-data-center-market-by-2026
Aviva Investors Asia Pte. Ltd.,http://www.avivainvestors.com/,AWS,https://www.avivainvestors.com/en-us/views/aiq-investment-thinking/2025/04/ai-opportunities/
Barantum,https://barantum.com,AWS,https://www.barantum.com/blog/contact-center-software/
BlackRock,http://www.blackrock.com/,AWS,https://www.blackrock.com/us/financial-professionals/insights/an-outlook-for-ai-and-technology-stocks
Bluescope Singapore,https://www.bluescope.com/our-company/where-we-are/locations,AWS,https://www.bluescope.com/content/dam/bluescope/corporate/bluescope-com/westen-post/documents/Western%20Port%20Water%20Stewardship%20Plan.pdf
Boston scientific India,www.bostonscientific.com,AWS,https://www.bostonscientific.com/content/dam/bostonscientific/uro-wh/portfolio-group/retrieval/Empower/PDF/URO-554004-AA-lithovue_empower_bluebar_v2.pdf
BRENNAN,https://www.brennanit.com.au/,AWS,https://www.brennanit.com.au/blogs/strengthening-the-guardrails-why-cloud-governance-matters-more-than-ever/
Canon Medical Systems Asia,http://www.medical.canon/,AWS,https://www.medical.canon/Interoperability/dicom/2G985-043ENB.pdf
CBN Media,http://www.cbn.com/,AWS,https://cbn.com/news/us/parler-suspended-amazon-apple-google-ceo-says-its-coordinated-attack-tech-giants
Click & Pay,http://www.realpage.com/,AWS,https://www.realpage.com/blog/the-multifamily-resident-centric-revolution/
Cnbc Indonesia,https://www.cnbcindonesia.com,AWS,https://www.cnbcindonesia.com/tag/aws
Computer Merchants,http://www.itstaffing.com/,AWS,https://itstaffing.com/top-10-high-paying-jobs-in-it-pathways-and-salaries-in-boston/
Core Integra Consulting Services Private Limited,http://www.coreintegra.com,AWS,https://www.coreintegra.com/why-is-the-need-for-on-demand-talent-high-in-the-indian-it-sector/
Coursemonster Pty Ltd,http://www.coursemonster.com/,AWS,https://www.coursemonster.com/training-courses/aws-cloud-practitioner-essentials
Defender Nusa Semesta,http://www.defenxor.com/,AWS,https://www.defenxor.com/en/blog/cara-identifikasi-misconfiguration-aws-s3-bucket-lakukan-segera-untuk-mengamankan-aset-anda-2/
Dr. Reddy's,http://www.drreddys.com/,AWS,https://www.drreddys.com/media/1085166/dr-reddy_-dr-reddy-s-expands-data-science-team-appoints-new-head-of-analytics-cio-news-et-cio.pdf
,https://www.eliteacademy.id/,AWS,https://www.eliteacademy.id/aws-cloud-practitioner
,http://www.fastlane.asia/,AWS,https://www.fastlane.asia/certifications/amazon-web-services
Frequentis Australasia,http://www.frequentis.com/,AWS,https://www.frequentis.com/sites/default/files/pr/2021-08/20210823_FREQUENTIS_StartUp-Center_ONDEWO_EN.pdf
GITS Indonesia,https://gits.id,AWS,https://git.gits.id/framework/go-lang-project/-/blob/ec058850db9c15510fcecb444d5bf7be1599888f/utils/aws.utils.go
GLAXOSMITHKLINE K.K.,https://www.gsk.com/,AWS,https://www.gsk.com/media/5pddpgz2/plan-for-contributing-to-a-nature-positive-world.pdf
Glencore Australia,http://www.glencore.com.au/,AWS,https://www.glencore.com.au/.rest/api/v1/documents/f8e084220a014c05ec5e467ecfa7bdaf/E220450_12_DecemberNoise_V1.pdf
GMA Network,https://www.gmanetwork.com/,AWS,https://www.gmanetwork.com/news/money/companies/541701/amazon-posts-second-straight-profit-powered-by-web-services/story/
Guardian,https://www.theguardian.com/international,AWS,https://www.theguardian.com/technology/article/2024/may/14/adam-selipsky-steps-down-amazon-web-services
H.J Heinz Company Australia,http://www.kraftheinzcompany.com/,AWS,https://www.kraftheinzcompany.com/terms_conditions_purchase/purchase_terms/Heinz%20ABC%20PO%20Terms%20%20Conditions.pdf
Independent News Service Private Ltd (India TV),https://www.indiatvnews.com/,AWS,https://www.indiatvnews.com/business/news/amazon-to-invest-usd-127-billion-into-cloud-infrastructure-in-india-plans-to-create-over-130000-jobs-latest-updates-2023-05-18-871247
IROOINFO,http://www.iroo.co.kr/,AWS,https://www.iroo.co.kr/irfiles/ko_Veeam_BRv11_IROOhome.pdf
Jobline Resources Pte Ltd,http://www.jobline.com.sg,AWS,https://www.jobline.com.sg/p/jobs/JD25832
Kantar,http://www.kantar.com/,AWS,https://www.kantar.com/north-america/inspiration/brands/amazon-slips-to-third-most-valuable-brand
Komatsu Australia,http://www.komatsu.com.au/,AWS,https://www.komatsu.com.au/getmedia/f5b83abe-2d71-4046-9512-ead7524080e1/iSite_brochure_AU_v1-3.pdf
KOSCOM,https://www.koscom.co.kr/eng/main.do?mobileYn=Y,AWS,https://www.koscom.co.kr/portal/bbs/B0000065/view.do?nttId=29559&searchCnd=&searchWrd=&gubun=&delcode=0&searchBgnDe=&searchEndDe=&useAt=&replyAt=&menuNo=200621&sdate=&edate=&deptId=&isk=&ise=&viewType=&type=&year=&pageIndex=7
KSO SUCOFINDO - SURVEYOR INDONESIA,https://www.sucofindo.co.id,AWS,https://www.sucofindo.co.id/wp-content/uploads/2023/08/Small-Step-Big-Impact-Inovasi-untuk-Perbaikan-dan-Pengurangan-Dampak-Lingkungan-FT-Maos-2.pdf
Loreal Indonesia,https://www.loreal.com/en/indonesia/,AWS,https://www.loreal.com/zh-tw/country-folder/taiwan/news/commitment/2021/05/03/00/47/2021/
,,AWS,https://docs.safe.security/docs/aws
M.Tech Products Pte Ltd - SG,http://www.mtechpro.com,AWS,https://www.mtechpro.com/marketing/newsletter/2019/aug/dyncontent/Darktrace_WP-CTR_2019-Digital.pdf
Manhattan Software [DUPLICATE],https://www.manh.com/en-au,AWS,https://www.manh.com/solutions/supply-chain-management-software/warehouse-management/what-is-warehouse-management-system-wms
Maritime University of Raja Ali Haji (UMRAH),https://umrah.ac.id,AWS,http://opac.umrah.ac.id/index.php?p=show_detail&id=34502&keywords=
MARSH (SINGAPORE) PTE. LTD.,http://www.marsh.com/,AWS,https://www.marsh.com/content/dam/marsh/Documents/PDF/US-en/mmc-cyber-handbook-2018.pdf
Minfy - SI,http://www.minfytech.com,AWS,https://www.minfytech.com/blogs/top-3-cloud-computing-trends-for-aws-customers-in-2025
Mnc Sekuritas,https://www.mncsekuritas.id/,AWS,https://www.mncsekuritas.id/assetweb//public/promosi/document1/[DKHH]%20Prospektus%20Final%20-%20Publikasi.pdf
Movate Technologies Private Limited ( Formerly CSS CORP PRIVATE LIMITED),https://www.movate.com/,AWS,https://www.movate.com/glossary/aws-integration-services/
MSFT,http://www.microsoft.com/,AWS,https://www.microsoft.com/en-us/download/details.aspx?id=56124
Mun Hean Singapore Pte. Ltd.,http://www.munhean.com/,AWS,http://www.munhean.com/wp-content/uploads/2021/09/DAXView-mini-Application-for-IoT-Enabled-DDC.pdf
NEDFi,http://www.nedfi.com/,AWS,https://www.nedfi.com/wp-content/uploads/2022/06/RFP-for-Selection-of-LLMS-General-Accounting-Solution-Provider-on-SaaS-Model.pdf
Netrust Pte Ltd,http://www.netrust.net,AWS,https://www.netrust.net/events/
NHP Electrical Engineering Products Pty Ltd,http://www.nhp.com.au/,AWS,https://www.nhp.com.au/products/energy-management-and-power-quality/energy-management/energy-management-solutions/carlo-gavazzi-energy-management-gateways
Nike (APAC),http://www.nike.com/,AWS,https://www.nike.com/ph/liverpool-fc/earl-jenkins-liverpool
NTT Ltd,https://www.ntt.com,AWS,https://www.ntt.com/bizon/glossary/e-a/aws.html
Objectif Lune Australia,http://www.objectiflune.com/,AWS,https://uplandsoftware.com/cimpl/resources/data-sheet/tagging-conventions-and-limitations-in-aws-and-microsoft-azure/
Offsec,http://www.offsec.com/,AWS,https://www.offsec.com/learning/paths/cloud-essentials/
OKX Exchange,http://www.okx.com/,AWS,https://www.okx.com/how-to-buy/aws/8453/0xcb6ab91007fe165c81b1e672007361cce9995fd1
OPTIMUM SOLUTIONS,http://www.theoptimum.net,AWS,https://theoptimum.net/a-guide-to-edge-computing/
Orion Innovation,http://www.orioninc.com/,AWS,https://www.orioninc.com/company/partnerships-alliances/amazon-web-services/
Payoda Technologies Private Limited,https://www.payoda.com,AWS,https://www.payoda.com/tag/aws-vs-azure-vs-google-cloud/
Philstar Daily Inc.,http://www.philstar.com,AWS,https://www.philstar.com/tags/aws
Piaggio,https://www.piaggiogroup.com/en/piaggio-asia-pacific-pte-ltd,AWS,https://www.piaggiogroup.com/sites/default/files/documents/Draft_Financial_Statements_0.pdf
Princeton Digital Group (Singapore) SG1 Pte Ltd,http://www.princetondg.com/,AWS,https://princetondg.com/uncategorized/pdg-targets-untapped-potential-hybrid-cloud-indonesia/
Procurri Singapore Pte Ltd,http://www.procurri.com/,AWS,https://www.procurri.com/2023/05/11/types-of-data-centers-the-basics/
PT Coinbit Digital Indonesia,http://www.stockbit.com,AWS,https://stockbit.com/symbol/SGX-AWS
PT Denso Indonesia,https://www.denso.com/id/id/,AWS,https://www.denso.com/global/en/driven-base/project/mobility-iot-core/
PT Sisnet Mitra Sejahtera,http://www.ptsms.co.id,AWS,https://ptsms.co.id/aws-jakarta/
Rapid7,http://www.rapid7.com/,AWS,https://www.rapid7.com/fundamentals/aws-cloud-security/
Reckitt Benckiser India,https://www.reckitt.com/in,AWS,https://www.reckitt.com/media/9776/environmental-protection-standard.pdf
Regalix,https://www.marketstar.com,AWS,https://www.marketstar.com/growth-hub-resources/blogs/5-sales-strategies-that-leverage-cloud-solutions
Rescale,http://www.rescale.com/,AWS,https://rescale.com/glossary/aws/
SAPURA ENERGY BERHAD,http://www.sapuraenergy.com,AWS,https://www.sapuraenergy.com/wp-content/uploads/2018/12/023842-SEB-131218-Star-.pdf
Sharekhan,http://www.sharekhan.com/,AWS,https://www.sharekhan.com/MediaGalary/IPODocuments/PD00042.pdf
Shimadzu (Asia Pacific) Pte Ltd,http://www.shimadzu.com.sg/,AWS,https://www.shimadzu.com.sg/an/products/software-informatics/software-option/labsolutions-cs/index.html
Shree Renuka Sugars Limited,http://www.renukasugars.com/,AWS,https://renukasugars.com/pdf/shareholders-service/agm/brsr-fy-2022-23.pdf
Sita Aero Australia,http://www.sita.aero/,AWS,https://www.sita.aero/stories/sita-stories/martin-smillie-senior-vice-president-cde/
solitontech.com,http://www.solitontech.com,AWS,https://www.solitontech.com/exploring-platforms-for-quick-llm-evaluation/
Srkay Consulting Group,http://www.srkay.com,AWS,https://srkay.com/developing-and-supporting-platforms-at-scale-lessons-from-industry-leaders/
Stellar Information Technology Pvt Ltd,http://www.stellarinfo.com,AWS,https://www.stellarinfo.com/article/raid-redundancy-storage-and-backups.php?srsltid=AfmBOor4PqHxNrtTMciQqizXo8iW9rj7r9FOb0MGf2jF9RiG8QK6D1Ed
Sterlite Technologies,http://www.stl.tech,AWS,https://stl.tech/global-services/data-centre-networks/
Studiotech Australia,http://www.studiotechau.com/,AWS,https://www.studiotechau.com/cms/?start=30
Sumo Logic Korea,http://www.sumologickorea.com/,AWS,https://www.sumologickorea.com/glossary/aws-s3/
Sunlife Financials,https://www.sunlife.com/en/,AWS,https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/pa-e-q323-presentation.pdf
Suprema,https://www.supremainc.com/en/,AWS,https://www.supremainc.com/en/about/news-detail.asp?iBOARD_CONT_NO=4569&News_Type=Releases
Talent,http://www.talentinternational.com,AWS,https://www.talentinternational.com/job/aws-agentic-ai-engineer-bbbh133084_1749679423/
Talentica Software (India) Pvt. Ltd.,http://www.talentica.com/,AWS,https://www.talentica.com/blogs/aws-ecs-amazon-elastic-container-service/
TATA TELESERVICES LTD.,http://www.tatatelebusiness.com,AWS,https://www.tatatelebusiness.com/case-studies/major-healthcare-service-provider-secures-aws-usage-with-secure-connect/
Teamlease services limited,https://www.teamlease.com/,AWS,https://www.teamlease.com/amazon-aws-jobs
Technoideat software pvt ltd,http://www.technoforte.co.in,AWS,https://www.technoforte.co.in/2024/09/23/cloud-transformation/
Telangana University,http://www.telanganauniversity.ac.in/,AWS,http://www.telanganauniversity.ac.in/TU/syllabus-pg/19.pdf
Tetherfi Pte Ltd,https://tetherfi.com/,AWS,https://tetherfi.com/partners/tetherfi-mx-platform-available-in-aws-marketplace/
The Walk Agency,http://www.thewalk.au,AWS,https://www.thewalk.au/our-work/sharing-customer-stories-to-showcase-the-power-of-the-aws-cloud/
THERMAX LIMITED,http://www.thermaxglobal.com,AWS,https://www.thermaxglobal.com/wp-content/uploads/2020/03/fireside-complete-issue-apr-June-2009.pdf
Transaction Solutions International Pvt. Ltd. (TSI India),https://www.tsiplc.com/,AWS,https://www.tsiplc.com/
Turner & Townsend,https://www.turnerandtownsend.com/locations/australia/,AWS,https://www.turnerandtownsend.com/insights/making-the-most-of-data-centre-development-opportunities-in-africa/
UNIMITY SOLUTIONS PVT LTD,http://www.unimitysolutions.com,AWS,https://www.unimity.com/insights/decoupled-drupal-architecture-when-and-why-you-should-go-headless
UnitedLex Corporation,http://www.unitedlex.com/,AWS,https://unitedlex.com/insights/putting-chatgpt-to-the-patent-analysis-test/
